	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
145	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	2	0.00243704737812922	711659.4152745374	713398.0	0.9085939636324992	701092	771623	0.8393692242475626	0.9024662992790772	247509	266114.7499999178	294875
146	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	3	0.002384281097349561	710002.1095272973	711699.0	0.9084625218198218	699984	770515	0.8367477744807121	0.9010202063018214	246736	265688.3333332496	294875
147	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	4	0.002302706299586288	707731.5407457941	709365.0	0.908134650576674	697234	767765	0.8308023087827343	0.897436701777397	244982	264630.7499999081	294874
148	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	5	0.0022006828849151505	703896.5304595195	705449.0	0.907722157750614	693802	764333	0.8226957329770133	0.89294289609484	242585	263298.4999999011	294866
149	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	6	0.002048217873232949	698039.328947774	699472.0	0.9069922923246324	687804	758335	0.8081626839045765	0.8851273285531931	238290	260983.3333332232	294854
150	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	7	0.0018403713502659347	687110.130691018	688377.0	0.9055921123080548	676557	747088	0.7813103132472907	0.8705555461329981	230342	256652.83333319984	294815
151	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	8	0.001559160492586531	665782.3174820124	666822.0	0.9028795602446634	655691	726222	0.7287124144646001	0.8434582028598616	214796	248618.58333317572	294761
152	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	9	0.0012316539453216535	625580.5510880399	626352.0	0.8978690808202794	620063	690594	0.6347891310693121	0.7974087411212564	187033	234946.91666648482	294638
153	pandora_nanopore_withdenovo_b19d26	100x	0	0.05	1.0	10	0.0008871606863246617	552786.1543969525	553277.0	0.8900007018145806	570664	641195	0.495945147421399	0.7331976055760832	146037	215898.8333331446	294462
154	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	0	0.0013533817853330632	663966.1824659128	664866.0	0.8994006300570625	694617	772311	0.8163933870284019	0.8940327822520445	240734	263627.91666657163	294875
155	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	1	0.001347044420802801	663724.7273370461	664620.0	0.8993397629572816	694150	771844	0.8153047901653243	0.8934039847389718	240413	263442.4999999043	294875
156	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	2	0.0013426794138010625	663399.0701495267	664291.0	0.8992965769857411	693819	771513	0.8145281899109792	0.8929588808814034	240184	263311.24999990384	294875
157	pandora_nanopore_nodenovo_b19d26	100x	5	0.0	0.8	3	0.0013250819331923624	662805.5629971692	663685.0	0.8992212064295869	693242	770936	0.8132428995337008	0.8921933022463835	239805	263085.4999999023	294875
