	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
1713	pandora_illumina_withdenovo	100x	15	0.05	0.4	8	0.0008017853042464608	524462.1565241512	524883.0	0.8272064265775673	625871	756608	0.6526947326294797	0.8038994572428492	192449	237032.1666664258	294853
1714	pandora_illumina_withdenovo	100x	15	0.05	0.4	9	0.0007528886675570723	518115.6227085397	518506.0	0.8243193124188698	613437	744174	0.623199712361014	0.7876132635031262	183728	232199.41666641066	294814
1715	pandora_illumina_withdenovo	100x	15	0.05	0.4	10	0.0007014290225004771	505432.2263189966	505787.0	0.8197668246994322	594640	725377	0.5748371556520561	0.7629037182783897	169439	224873.4999997381	294760
1716	pandora_illumina_nodenovo	100x	10	0.3	0.4	0	0.0007750087348938892	499327.7165100425	499715.0	0.8191182049718313	632614	772311	0.6604188215345486	0.8126186237098506	194741	239620.91666644215	294875
1717	pandora_illumina_nodenovo	100x	10	0.3	0.4	1	0.0007735538103155193	499210.53483702784	499597.0	0.8189548141946621	631917	771614	0.6589504027130141	0.8117207856428653	194308	239356.16666643988	294875
1718	pandora_illumina_nodenovo	100x	10	0.3	0.4	2	0.0007731252605437389	499120.8185204816	499507.0	0.818904589058854	631703	771400	0.6585287275242985	0.8114448883244113	194183	239273.9999997725	294874
1719	pandora_illumina_nodenovo	100x	10	0.3	0.4	3	0.0007657390451543122	499012.5937495452	499395.0	0.8188785267260391	631592	771289	0.6582777728792637	0.8112990633279716	194109	239230.9999997723	294874
1720	pandora_illumina_nodenovo	100x	10	0.3	0.4	4	0.0007452086405642655	498601.1610089917	498973.0	0.8186075983883387	630440	770137	0.6553205776026371	0.8097314446162508	193237	238768.7499997723	294874
1721	pandora_illumina_nodenovo	100x	10	0.3	0.4	5	0.0007264299750076031	498119.8877331982	498482.0	0.8183915935732384	629524	769221	0.6532315497466714	0.8084882582609444	192621	238402.1666664377	294874
1722	pandora_illumina_nodenovo	100x	10	0.3	0.4	6	0.0007028389558793036	497072.39244088857	497422.0	0.8177390546494498	626770	766467	0.6474346583105269	0.8049657536174325	190911	237362.66666643322	294873
1723	pandora_illumina_nodenovo	100x	10	0.3	0.4	7	0.000676126968992774	495408.8141118837	495744.0	0.8168172460366373	622913	762610	0.6386971841733109	0.7999430820684015	188332	235878.4166664275	294869
1724	pandora_illumina_nodenovo	100x	10	0.3	0.4	8	0.0006352264864877277	492158.1693769729	492471.0	0.8149943848199435	615399	755096	0.6213745998155081	0.7901117125174649	183221	232975.4999997498	294864
1725	pandora_illumina_nodenovo	100x	10	0.3	0.4	9	0.0005935297769409376	485625.5955719675	485914.0	0.8119546635437279	603193	742890	0.5922568172568172	0.774148690814477	174621	228249.9999997404	294840
1726	pandora_illumina_nodenovo	100x	10	0.3	0.4	10	0.0005409914984301212	472529.2273344146	472785.0	0.8069731580532749	584021	723718	0.5427163123935654	0.7489927584895394	159983	220789.5833330634	294782
1727	pandora_illumina_nodenovo	100x	10	0.1	0.6	0	0.0009422738447019133	595831.0344749367	596393.0	0.8668515662731724	669479	772311	0.7559745654938533	0.8608096651117825	222918	253831.2499998369	294875
1728	pandora_illumina_nodenovo	100x	10	0.1	0.6	1	0.0009402311972731556	595688.388088857	596249.0	0.8667264569341591	668754	771586	0.7544349300551081	0.8598688709899709	222464	253553.83333316765	294875
1729	pandora_illumina_nodenovo	100x	10	0.1	0.6	2	0.0009395258233265703	595570.9195314145	596131.0	0.8666810143091804	668491	771323	0.7539050577534812	0.8595287026543539	222307	253452.66666649995	294874
1730	pandora_illumina_nodenovo	100x	10	0.1	0.6	3	0.000932461544668417	595436.26037907	595992.0	0.8666580220179203	668358	771190	0.7535930600866811	0.8593517909338669	222215	253400.4999998331	294874
1731	pandora_illumina_nodenovo	100x	10	0.1	0.6	4	0.0009073599842827076	594783.8268247169	595324.0	0.8664236715044873	667005	769837	0.7502289113316196	0.8575253045928024	221223	252861.9166664981	294874
1732	pandora_illumina_nodenovo	100x	10	0.1	0.6	5	0.0008843833487346409	594097.1253200254	594623.0	0.8662393206863898	665944	768776	0.7478651898777104	0.8560950326800477	220526	252440.1666664964	294874
